2026-01-29 08:36:22,456 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 08:36:22,456 | INFO     | Launcher        | [Flask] Started with PID 21988
2026-01-29 08:36:27,463 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 08:36:27,965 | INFO     | Launcher        | [Camera] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 08:36:27,970 | INFO     | Launcher        | [Camera] Started with PID 22980
2026-01-29 08:36:27,972 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 08:36:28,473 | INFO     | Launcher        | [Manager] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 08:36:28,473 | INFO     | Launcher        | [Manager] Started with PID 21952
2026-01-29 08:36:28,473 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 08:36:28,981 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\AppData\Local\Programs\Python\Python312\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 08:36:28,981 | INFO     | Launcher        | [Flask] Started with PID 11128
2026-01-29 08:36:32,020 | INFO     | Launcher        | ============================================================
2026-01-29 08:36:32,020 | INFO     | Launcher        | Stopping all services...
2026-01-29 08:36:32,020 | INFO     | Launcher        | ============================================================
2026-01-29 08:36:32,020 | INFO     | Launcher        | All services stopped
2026-01-29 09:04:56,685 | INFO     | Launcher        | ============================================================
2026-01-29 09:04:56,685 | INFO     | Launcher        | Starting all services...
2026-01-29 09:04:56,685 | INFO     | Launcher        | ============================================================
2026-01-29 09:04:56,686 | INFO     | Launcher        | [Camera] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:04:56,690 | INFO     | Launcher        | [Camera] Started with PID 1196
2026-01-29 09:04:57,692 | INFO     | Launcher        | [Manager] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:04:57,702 | INFO     | Launcher        | [Manager] Started with PID 4460
2026-01-29 09:04:58,703 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:04:58,714 | INFO     | Launcher        | [Flask] Started with PID 22408
2026-01-29 09:04:59,718 | INFO     | Launcher        | ============================================================
2026-01-29 09:04:59,718 | INFO     | Launcher        | All services started!
2026-01-29 09:04:59,718 | INFO     | Launcher        | ============================================================
2026-01-29 09:04:59,718 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:05:00,222 | INFO     | Launcher        | [Camera] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:05:00,222 | INFO     | Launcher        | [Camera] Started with PID 2284
2026-01-29 09:05:00,222 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:05:00,728 | INFO     | Launcher        | [Manager] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:05:00,728 | INFO     | Launcher        | [Manager] Started with PID 21808
2026-01-29 09:05:00,733 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:05:01,234 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:05:01,234 | INFO     | Launcher        | [Flask] Started with PID 19264
2026-01-29 09:05:06,241 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:05:06,742 | INFO     | Launcher        | [Camera] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:05:06,747 | INFO     | Launcher        | [Camera] Started with PID 21244
2026-01-29 09:05:06,748 | WARNING  | Launcher        | [manager] Health check failed, restarting...
2026-01-29 09:05:07,249 | INFO     | Launcher        | [Manager] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\communications\manager.py
2026-01-29 09:05:07,249 | INFO     | Launcher        | [Manager] Started with PID 15596
2026-01-29 09:05:07,256 | WARNING  | Launcher        | [flask] Health check failed, restarting...
2026-01-29 09:05:07,757 | INFO     | Launcher        | [Flask] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\Flask\flask_server.py
2026-01-29 09:05:07,759 | INFO     | Launcher        | [Flask] Started with PID 8392
2026-01-29 09:05:12,764 | WARNING  | Launcher        | [camera] Health check failed, restarting...
2026-01-29 09:05:13,265 | INFO     | Launcher        | [Camera] Starting: C:\Users\Hamamatsu\anaconda3\python.exe e:\Xi\mls\server\cam\camera_server.py
2026-01-29 09:05:13,265 | INFO     | Launcher        | [Camera] Started with PID 23128
